"Time","FLOWTOSA"
"and",400.00
"Date","Discharge (ML/Day)"
"","Mean"
09:00:00 18/08/2009,        1702
09:00:00 19/08/2009,        1790
09:00:00 20/08/2009,        1905
09:00:00 21/08/2009,        1924
09:00:00 22/08/2009,        1919
09:00:00 23/08/2009,        1834
09:00:00 24/08/2009,        1765
09:00:00 25/08/2009,        1731
09:00:00 26/08/2009,        1784
09:00:00 27/08/2009,        1833
09:00:00 28/08/2009,        1813
09:00:00 29/08/2009,        1906
09:00:00 30/08/2009,        1911
09:00:00 31/08/2009,        1861
09:00:00 01/09/2009,        1807
09:00:00 02/09/2009,        1802
09:00:00 03/09/2009,        1794
09:00:00 04/09/2009,        1778
09:00:00 05/09/2009,        1800
09:00:00 06/09/2009,        1727
09:00:00 07/09/2009,        1729
09:00:00 08/09/2009,        1844
09:00:00 09/09/2009,        1871
09:00:00 10/09/2009,        1963
09:00:00 11/09/2009,        2146
09:00:00 12/09/2009,        2236
09:00:00 13/09/2009,        2234
09:00:00 14/09/2009,        2236
09:00:00 15/09/2009,        2342
09:00:00 16/09/2009,        2432
09:00:00 17/09/2009,        2653
09:00:00 18/09/2009,        2849
09:00:00 19/09/2009,        2741
09:00:00 20/09/2009,        2697
09:00:00 21/09/2009,        2740
09:00:00 22/09/2009,        2820
09:00:00 23/09/2009,        2738
09:00:00 24/09/2009,        2448
09:00:00 25/09/2009,        2349
09:00:00 26/09/2009,        2429
09:00:00 27/09/2009,        2405
09:00:00 28/09/2009,        2286
09:00:00 29/09/2009,        2268
09:00:00 30/09/2009,        2401
09:00:00 01/10/2009,        2392
09:00:00 02/10/2009,        2363
09:00:00 03/10/2009,        2306
09:00:00 04/10/2009,        2295
09:00:00 05/10/2009,        2454
09:00:00 06/10/2009,        2570
09:00:00 07/10/2009,        2592
09:00:00 08/10/2009,        2496
09:00:00 09/10/2009,        2239
09:00:00 10/10/2009,        2074
09:00:00 11/10/2009,        1997
09:00:00 12/10/2009,        1988
09:00:00 13/10/2009,        2082
09:00:00 14/10/2009,        2276
09:00:00 15/10/2009,        2360
09:00:00 16/10/2009,        2472
09:00:00 17/10/2009,        2705
09:00:00 18/10/2009,        2777
09:00:00 19/10/2009,        2691
09:00:00 20/10/2009,        2589
09:00:00 21/10/2009,        2578
09:00:00 22/10/2009,        2765
09:00:00 23/10/2009,        2932
09:00:00 24/10/2009,        2954
09:00:00 25/10/2009,        2911
09:00:00 26/10/2009,        2814
09:00:00 27/10/2009,        3052
09:00:00 28/10/2009,        3242
09:00:00 29/10/2009,        3285
09:00:00 30/10/2009,        3305
09:00:00 31/10/2009,        3282
09:00:00 01/11/2009,        3315
09:00:00 02/11/2009,        3339
09:00:00 03/11/2009,        3572
09:00:00 04/11/2009,        3888
09:00:00 05/11/2009,        4090
09:00:00 06/11/2009,        4452
09:00:00 07/11/2009,        4709
09:00:00 08/11/2009,        4553
09:00:00 09/11/2009,        4475
09:00:00 10/11/2009,        4668
09:00:00 11/11/2009,        4616
09:00:00 12/11/2009,        4666
09:00:00 13/11/2009,        4721
09:00:00 14/11/2009,        4732
